AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Legal Tech,GPT-3.5,"ChatGPTs legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Finance AI,Auto,Assistive,Text,Unstructured,Unstable,High,52,Finance and Insurance,High,0.5,Proof of Concept
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Generative AI,Latent Diffusion Model,"Stability AIs Stable Diffusion model is an image generation system that uses a latent diffusion model to generate high-quality images based on textual descriptions. The model is capable of creating diverse images with high resolution, making it a popular choice for creative industries.",Generative AI,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Information,Moderate,250,Department
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Proof of Concept
AI News & Media,GPT-style LLM,"Sports Illustrated uses a GPT-style language model to generate AI-driven articles. The model analyzes large datasets of sports news and uses natural language generation to produce written content, summarizing games, player performances, and other sports-related events in real time.",Social Media AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Real Estate & Property Tech,PropWorth + Recommender System,"This system combines property valuation techniques with a recommendation engine. It uses machine learning to generate accurate property estimates and suggests investment opportunities based on user preferences, location, and market trends. It is used in real estate platforms to help buyers and sellers make informed decisions.",Real Estate AI,Auto,Assistive,Numeric+Text,Structured,Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1.2,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI Energy Management,Virtual Power Plant Control ML,"This model uses machine learning to manage and control distributed energy resources in a virtual power plant. It optimizes energy distribution by analyzing data from smart devices, ensuring efficient use of energy resources across the grid. This improves energy efficiency and contributes to sustainability goals.",Energy AI,Indirect,Automation,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Department
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI Security & Surveillance,Sensor Fusion + Computer Vision,"Evolv Express Scanner integrates sensor fusion with computer vision to detect weapons and prohibited items in public spaces, such as schools and stadiums. The system uses multiple sensors, including cameras and metal detectors, to create a composite understanding of the environment and identify potential threats.",Security AI,Indirect,Assistive,Numeric,Unstructured,Unstable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Very-High,1,Enterprise
AI Recommendation & Personalization,LSTM Knowledge Prediction (Birdbrain),"This system uses Long Short-Term Memory (LSTM) networks for predicting knowledge retention and understanding in educational settings. LSTM is used to track student performance over time, making it capable of providing personalized recommendations and forecasting learning outcomes.",Retail AI,Auto,Assistive,Numeric,Structured,Stable,Medium,44,Retail Trade,High,1,Department
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Assistants,Intent Detection + Human-in-Loop,"This system uses Natural Language Processing (NLP) for intent detection, identifying the user's goal behind a query. The model is supplemented with human-in-the-loop processes, where human feedback continuously refines and improves the model's accuracy in understanding and responding to user input, particularly in ambiguous or complex situations.",Consumer AI,Direct,Assistive,Text,Unstructured,Stable,Medium,54,Retail Trade,High,0.2,Proof of Concept
AI Legal Tech,Weighted Questionnaire Scoring,"The COMPAS recidivism algorithm uses a weighted questionnaire scoring system to predict the likelihood of a criminal reoffending. The model analyzes past criminal history, demographic data, and social factors to assess the risk of recidivism. However, the algorithm has been criticized for racial bias and lack of transparency in its scoring methodology.",Finance AI,Auto,Predictive,Numeric,Structured,Semi-Stable,Low,52,Finance and Insurance,High,0.5,Department
AI Assistants,RNN + TTS + ASR,"Google Duplex combines Recurrent Neural Networks (RNNs) for speech recognition with Text-to-Speech (TTS) and Automatic Speech Recognition (ASR) to interact with humans over the phone in natural, human-like conversations. The system can schedule appointments and carry out tasks autonomously, interacting with businesses in a seamless manner.",Consumer AI,Indirect,Automation,Audio,Unstructured,Semi-Stable,High,54,Retail Trade,High,50,Proof of Concept
AI News & Media,GPT-style LLM,"Sports Illustrated uses a GPT-style language model to generate AI-driven articles. The model analyzes large datasets of sports news and uses natural language generation to produce written content, summarizing games, player performances, and other sports-related events in real time.",Social Media AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,"Alexa's Election Q&A system utilizes Natural Language Understanding (NLU) and knowledge retrieval techniques to answer election-related questions. It processes user queries in natural language, retrieves relevant information from trusted sources, and presents it in an easily understandable format.",Retail AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Retail Trade,High,0.2,Proof of Concept
AI Legal Tech,GPT-3.5,"ChatGPTs legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Finance AI,Auto,Assistive,Text,Unstructured,Unstable,High,52,Finance and Insurance,High,0.5,Proof of Concept
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Assistants,RNN + TTS + ASR,"Google Duplex combines Recurrent Neural Networks (RNNs) for speech recognition with Text-to-Speech (TTS) and Automatic Speech Recognition (ASR) to interact with humans over the phone in natural, human-like conversations. The system can schedule appointments and carry out tasks autonomously, interacting with businesses in a seamless manner.",Consumer AI,Indirect,Automation,Audio,Unstructured,Semi-Stable,High,54,Retail Trade,High,50,Department
AI Generative AI,Latent Diffusion Model,"Stability AIs Stable Diffusion model is an image generation system that uses a latent diffusion model to generate high-quality images based on textual descriptions. The model is capable of creating diverse images with high resolution, making it a popular choice for creative industries.",Generative AI,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Information,Moderate,250,Proof of Concept
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Energy Management,Anomaly Detection on Pipeline Sensors,"This system uses machine learning to detect anomalies in real-time pipeline sensor data. The model is trained to identify unusual patterns that could indicate issues like leaks, corrosion, or blockages, helping companies take preventive action before problems escalate.",Energy AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Chatbots & Conversational AI,FAQ-based NLP Model,"Air Canada's chatbot is powered by an FAQ-based NLP model that is designed to answer common questions about flights, booking, and customer service. The system processes natural language queries and retrieves the most relevant information from a predefined set of frequently asked questions.",Social AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Information,Moderate,0.2,Department
AI Healthcare,Outage Risk Prediction ML,"This system applies machine learning to predict potential outages in infrastructure systems like power grids. By analyzing real-time sensor data and historical patterns, the model forecasts failures and provides proactive maintenance recommendations to prevent costly downtime.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Proof of Concept
AI Energy Management,Virtual Power Plant Control ML,"This model uses machine learning to manage and control distributed energy resources in a virtual power plant. It optimizes energy distribution by analyzing data from smart devices, ensuring efficient use of energy resources across the grid. This improves energy efficiency and contributes to sustainability goals.",Energy AI,Indirect,Automation,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Generative AI,Latent Diffusion Model,"Stability AIs Stable Diffusion model is an image generation system that uses a latent diffusion model to generate high-quality images based on textual descriptions. The model is capable of creating diverse images with high resolution, making it a popular choice for creative industries.",Generative AI,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Information,Moderate,250,Proof of Concept
AI Generative AI,Latent Diffusion Model,"Stability AIs Stable Diffusion model is an image generation system that uses a latent diffusion model to generate high-quality images based on textual descriptions. The model is capable of creating diverse images with high resolution, making it a popular choice for creative industries.",Generative AI,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Information,Moderate,250,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Security & Surveillance,Sensor Fusion + Computer Vision,"Evolv Express Scanner integrates sensor fusion with computer vision to detect weapons and prohibited items in public spaces, such as schools and stadiums. The system uses multiple sensors, including cameras and metal detectors, to create a composite understanding of the environment and identify potential threats.",Security AI,Indirect,Assistive,Numeric,Unstructured,Unstable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Very-High,1,Enterprise
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Chatbots & Conversational AI,GPT-based Chatbot,"This AI chatbot is based on OpenAIs GPT model, fine-tuned to answer questions specific to the city of New York. It assists local businesses, residents, and visitors by providing information and recommendations based on the citys services, events, and policies.",Social AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI Legal Tech,NLP Document Parsing,"COIN is an AI-driven platform developed by JPMorgan to parse and analyze legal contracts using Natural Language Processing (NLP). The system extracts key information from documents, reducing the time required for reviewing contracts and identifying critical terms or clauses.",Finance AI,Direct,Automation,Text,Unstructured,Stable,Medium,52,Finance and Insurance,High,0.2,Proof of Concept
AI Energy Management,Anomaly Detection on Pipeline Sensors,"This system uses machine learning to detect anomalies in real-time pipeline sensor data. The model is trained to identify unusual patterns that could indicate issues like leaks, corrosion, or blockages, helping companies take preventive action before problems escalate.",Energy AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance Model,"This AI system uses machine learning to predict the maintenance needs of industrial machinery. By analyzing sensor data and historical failure patterns, the model forecasts when equipment is likely to fail, enabling proactive maintenance and reducing downtime in critical infrastructure and manufacturing processes.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Data Annotation & Labeling,CNN + Relevance Ranking,"Googles image search algorithm uses CNNs for image recognition and relevance ranking for accurate search results. The model ranks images based on relevance to the search query, though it has faced criticism for biases in labeling and search results. The model is continually refined to reduce bias in image classifications.",Enterprise AI,Auto,Assistive,Image,Unstructured,Unstable,High,54,"Professional, Scientific, and Technical Services",High,250,Proof of Concept
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Energy Management,Power Plant Optimization ML,"This system uses machine learning to optimize the operation of power plants. By analyzing real-time data from sensors, the model identifies inefficiencies and suggests adjustments to improve thermal efficiency, fuel consumption, and overall plant performance.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Manufacturing & Quality Control,Defect Detection + Process Optimization ML,"This model uses machine learning to detect defects and optimize manufacturing processes. By analyzing sensor data and product images, the system identifies defects early in production and adjusts the process to minimize waste, ensuring the production of high-quality goods. This is vital for industries where precision and quality are critical, such as aerospace or automotive manufacturing.",Manufacturing AI,Indirect,Automation,Image+Numeric,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,101,Proof of Concept
AI Recruitment & HR,Text Classification Model,This AI-driven resume screening tool employs text classification models to parse and analyze resumes. It classifies candidate qualifications into predefined categories based on job requirements. The model is trained on historical hiring data to improve its accuracy in identifying the best candidates for specific job roles.,HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Proof of Concept
AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Navigation AI,Auto,Assistive,Text,Unstructured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Assistants,CV for Outfit Analysis,"This system uses Computer Vision (CV) to analyze and interpret fashion-related images, identifying clothing items and providing outfit recommendations based on visual data. It assists users in selecting clothing by analyzing features such as color, style, and fit, commonly applied in fashion e-commerce platforms and virtual wardrobe assistants.",Consumer AI,Auto,Assistive,Image,Unstructured,Unstable,Medium,54,Retail Trade,High,100,Enterprise
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Recruitment & HR,Resume Screening ML,"Oracles recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Recruitment & HR,Text Classification Model,This AI-driven resume screening tool employs text classification models to parse and analyze resumes. It classifies candidate qualifications into predefined categories based on job requirements. The model is trained on historical hiring data to improve its accuracy in identifying the best candidates for specific job roles.,HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Recruitment & HR,Resume Screening ML,"Oracles recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learners pace, helping to optimize learning outcomes and engagement.",Content AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,51,Software Publishers,Moderate,1,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Assistants,RNN + TTS + ASR,"Google Duplex combines Recurrent Neural Networks (RNNs) for speech recognition with Text-to-Speech (TTS) and Automatic Speech Recognition (ASR) to interact with humans over the phone in natural, human-like conversations. The system can schedule appointments and carry out tasks autonomously, interacting with businesses in a seamless manner.",Consumer AI,Indirect,Automation,Audio,Unstructured,Semi-Stable,High,54,Retail Trade,High,50,Department
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Security & Surveillance,Sensor Fusion + Computer Vision,"Evolv Express Scanner integrates sensor fusion with computer vision to detect weapons and prohibited items in public spaces, such as schools and stadiums. The system uses multiple sensors, including cameras and metal detectors, to create a composite understanding of the environment and identify potential threats.",Security AI,Indirect,Assistive,Numeric,Unstructured,Unstable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Very-High,1,Enterprise
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Enterprise AI,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,100,Multi-site-National
AI Recruitment & HR,Resume Screening ML,"Oracles recruitment tool uses machine learning for resume screening. It analyzes candidate resumes, extracting key data points such as skills, experience, and qualifications, and matches them to job descriptions. The model is trained to prioritize candidates who meet the specific criteria set by recruiters.",HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Chatbots & Conversational AI,GPT-based Chatbot,"This AI chatbot is based on OpenAIs GPT model, fine-tuned to answer questions specific to the city of New York. It assists local businesses, residents, and visitors by providing information and recommendations based on the citys services, events, and policies.",Social AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI General AI Application,Risk Simulation ML + 3D Modeling,"This system combines machine learning with 3D modeling to simulate and assess risks in real-world environments. The AI analyzes potential threats and hazards, such as natural disasters or infrastructure failures, providing predictive insights for better risk management and preparedness.",Automotive AI,Indirect,Predictive,Geospatial,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,100,Department
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Real Estate & Property Tech,Real Estate Recommender + Pricing ML,"This system applies machine learning to analyze real estate data and recommend properties based on user preferences, budget, and location. The model also predicts property prices by analyzing historical data, helping users make informed decisions about buying, renting, or selling properties.",Real Estate AI,Auto,Assistive,Numeric,Structured,Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Healthcare,Embedded Diagnostic ML,"Forward uses an embedded diagnostic machine learning model to analyze real-time patient data from health pods. The system provides immediate diagnostics, suggesting potential health issues and offering personalized recommendations based on the data gathered during a patient's self-assessment.",Healthcare AI,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Voice Assistants & Speech AI,E2E Neural Speech-to-Intent,"This AI system uses an End-to-End (E2E) neural network model for speech-to-intent processing in a drive-thru setting. It takes spoken customer orders and converts them into machine-understandable intent using a deep neural network architecture. The system is trained to handle natural language variations and noise in drive-thru environments, ensuring accurate order interpretation.",Retail AI,Auto,Automation,Audio,Unstructured,Unstable,Medium,44,Retail Trade,High,20,Enterprise
